Step,AreaFractionSolidified
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0.0001
1600,0.000475
1700,0.0072375
1800,0.0261875
1900,0.041875
2000,0.0571125
2100,0.071725
2200,0.086925
2300,0.10245
2400,0.117987
2500,0.13355
2600,0.14915
2700,0.164825
2800,0.179962
2900,0.195612
3000,0.211338
3100,0.2268
3200,0.24145
3300,0.256025
3400,0.271263
3500,0.286687
3600,0.302025
3700,0.317113
3800,0.332788
3900,0.347888
4000,0.362887
4100,0.378038
4200,0.393062
4300,0.408325
4400,0.423887
4500,0.440487
4600,0.45595
4700,0.471438
4800,0.4878
4900,0.502775
5000,0.517388
5100,0.532625
5200,0.5484
5300,0.563813
5400,0.579175
5500,0.595187
5600,0.610425
5700,0.625613
5800,0.641513
5900,0.657625
6000,0.673175
6100,0.68915
6200,0.705638
6300,0.720775
6400,0.7364
6500,0.7526
6600,0.7687
6700,0.7843
6800,0.800612
6900,0.817213
7000,0.832625
7100,0.848337
7200,0.86465
7300,0.880275
7400,0.895525
7500,0.911625
7600,0.9276
7700,0.943237
7800,0.95935
7900,0.975925
8000,0.990413
8100,0.995762
8200,0.99885
8300,1
8400,1
8500,1
8600,1
8700,1
8800,1
8900,1
9000,1
9100,1
9200,1
9300,1
9400,1
9500,1
9600,1
9700,1
9800,1
9900,1
10000,1
10100,1
10200,1
10300,1
10400,1
10500,1
10600,1
10700,1
10800,1
10900,1
11000,1
11100,1
11200,1
11300,1
11400,1
11500,1
11600,1
11700,1
11800,1
11900,1
12000,1
12100,1
12200,1
12300,1
12400,1
12500,1
12600,1
12700,1
12800,1
12900,1
13000,1
13100,1
13200,1
